CountryName,AccessElec,AdolFert,AgriLand,ArableLand,BirthRate,CO2,DeathRate,EmpRatioF,EmpRatioM,EmpRatioT,EmpRatioYF,EmpRatioYF,EmpRatioYF,FertilityRate,GDP,HealthExpend,Imports,Sanitation,Water,Internet,LifeExp,AgeSecEdu,AgePriEdu,FemPriEdu,Pop65+,Pop0-14,Pop15-64,PopFem,PopRural,UnempFem,UnempMal,UnempTot,PopRUrban
Afghanistan,41.0,99.6324,58.06757957295589,11.9367092485372,38.94,0.18218411480035895,9.193,13.5,73.6999969482422,43.9000015258789,9.69999980926514,49.2999992370605,29.899999618530305,5.746,366.32481286499495,47.87693003,44.9434783455166,29.3,48.0,4.0,58.970829268292704,13.0,7.0,39.3410415649414,2.27524958956208,47.58934443193271,50.135405978505204,48.617671702380285,75.311,12.3999996185303,8.0,8.699999809265138,24.689
Albania,100.0,19.9188,43.8430656934307,22.846715328467198,12.607000000000001,0.161687664824787,6.596,37.5,57.2999992370605,47.2999992370605,21.7999992370605,29.2999992370605,25.7000007629395,1.7409999999999999,3604.0797722537895,200.44179241,53.0245435082662,90.9,95.6,45.0,76.97851219512201,11.0,6.0,47.5649604797363,10.954817957857001,21.4251229288017,67.62005911334121,49.5927644222734,47.836999999999996,17.1000003814697,12.1999998092651,14.1999998092651,52.163000000000004
Algeria,99.3,10.7334,17.3713335628574,3.1497980468061204,24.643,0.25636686740993203,5.1080000000000005,11.8000001907349,65.40000152587889,38.7999992370605,5.699999809265139,38.0999984741211,22.2000007629395,2.873,3233.177137585661,209.83491108,31.4221141747825,86.6,85.7,12.5,73.80404878048779,11.0,6.0,47.335140228271506,5.55098838363988,27.191308041459106,67.257703574901,49.630125674603704,32.474000000000004,19.3999996185303,8.10000038146973,10.0,67.52600000000001
American Samoa,55.8,57.09090119445583,24.5,15.0,18.7,0.2858167449883385,8.623748112097264,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,3.053916149871504,10577.927487698826,752.16607944497,45.69517947672486,62.3,100.0,21.36922941642194,68.61378596415548,11.816831683168317,6.0,47.66378604330437,7.334371965346783,30.57425766939913,62.09149951109416,50.06827462251143,12.405999999999999,10.472767731686966,8.113934633662318,8.850219375833598,87.594
Andorra,100.0,57.09090119445583,42.7659574468085,5.31914893617021,9.8,0.2858167449883385,2.8,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,1.22,33512.0155315848,3185.53381657,45.69517947672486,100.0,100.0,81.0,68.61378596415548,12.0,6.0,48.1566314697266,7.334371965346783,30.57425766939913,62.09149951109416,50.06827462251143,12.183,10.472767731686966,8.113934633662318,8.850219375833598,87.81700000000001
Angola,34.6,180.928,46.8356461057191,3.28868212079891,47.528999999999996,0.2858167449883385,14.959000000000001,58.0999984741211,72.0,64.90000152587889,43.9000015258789,50.4000015258789,47.2000007629395,6.416,10577.927487698826,143.78246052,42.8001482616453,46.2,47.1,10.0,50.654170731707296,12.0,6.0,44.738410949707,2.3512067933794905,48.152587889681605,49.49620531693901,50.4562922238192,59.903,7.400000095367429,6.5,6.900000095367429,40.097
Antigua and Barbuda,87.87328000000001,51.755,20.4545454545455,9.09090909090909,16.968,0.29227226357683195,6.27,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,2.13,11602.1422266268,733.80836415,59.7892161118847,91.4,97.9,47.0,75.30878048780491,12.0,5.0,47.3342781066895,7.23350108330562,26.2331915674114,66.53330734928299,52.2543074295278,73.76100000000001,10.472767731686966,8.113934633662318,8.850219375833598,26.239
Arab World,84.34222469395701,49.7035477489533,40.0429823565164,4.16414006692262,27.092192545344897,0.32845243601171803,5.84596239844947,18.198746427900602,68.7893483033536,44.4399740631569,10.3184172169266,38.3937709478246,24.7509229285175,3.3971818201417703,4285.81896505338,246.80714732911,41.1427666920649,78.29900550568058,83.54541109200409,24.5357799041128,70.0030169216615,11.816831683168317,6.131707317073171,46.91366958618161,4.15313636102589,33.4337287664461,62.413134872528,48.3413211586098,43.73412766509621,19.648704657860698,7.695309365319179,10.3339787297567,56.26587233490379
Argentina,94.0,62.62,53.8902835176801,13.878444398159802,18.153,0.22361977630869395,7.64,42.7000007629395,69.90000152587889,55.7999992370605,24.0,42.5999984741211,33.4000015258789,2.37,7076.301272088771,754.17956548,14.8447403469592,94.9,98.2,45.0,75.48497560975609,12.0,6.0,48.6851806640625,10.4049947996107,25.871955801239,63.7230493991503,51.0871670158862,9.03400000000001,9.19999980926514,6.699999809265139,7.699999809265139,90.96600000000001
Armenia,99.8,26.5732,60.9413417632596,15.753424657534199,13.83,0.218656590976588,8.738,40.0,59.7000007629395,49.9000015258789,14.8000001907349,28.5,22.2999992370605,1.6480000000000001,1997.05226101941,143.06442355,45.3171919668174,89.5,98.4,25.0,74.2263414634146,10.0,7.0,46.8115005493164,10.5477449606816,20.514959358811396,68.93729568050709,48.5913259204669,36.42,21.3999996185303,17.2999992370605,19.0,63.58
